"Site","Date....as.Date.character....format.....Y..m..d..","Time....character..","Name....character..","File_Start_Time....character..","File_End_Time....character..","bioacoustic....double..","amplitude....double..","temporal_entropy....double..","spectral_entropy....double..","acoustic_entropy....double..","acoustic_diversity....double..","acoustic_evenness....double..","acoustic_complexity....double..","nrows....integer..","ndsi....double..","cluster..nine..clusters","cluster..fifteen..clusters"
"Patagonia_lake","2019-04-13","16:10:0","Patagonia_lake_S4A07341_20190413_160000.wav",10,15,147.581146415122,0.0382704691650313,0.992922714763024,0.581603710899058,0.577487535542142,1.217191,0.723158,176.046040051481,0,0.848268027935083,3,1
"Patagonia_lake","2019-04-13","16:15:0","Patagonia_lake_S4A07341_20190413_160000.wav",15,20,137.46066945369,0.0360167173386653,0.994548843241862,0.541661660509112,0.538708977887804,0.87717,0.79291,172.287869171595,0,0.0926964311650399,3,1
"Patagonia_lake","2019-04-13","16:20:0","Patagonia_lake_S4A07341_20190413_160000.wav",20,25,130.009242642559,0.0359336703748328,0.994787205455657,0.518901876458339,0.516196947587688,0.788488,0.790417,179.82439356485,0,0.445368742038661,3,1
"Patagonia_lake","2019-04-13","16:25:0","Patagonia_lake_S4A07341_20190413_160000.wav",25,30,141.151109744704,0.0340100425302641,0.996744298925053,0.500212654044975,0.498584111169499,1.287705,0.693826,176.926221333666,0,0.788084722745904,3,1
"Patagonia_lake","2019-04-13","16:30:0","Patagonia_lake_S4A07341_20190413_160000.wav",30,35,114.711972356719,0.0335948046095912,0.997075743872157,0.438305903087304,0.437024184364332,0.978689,0.765077,170.070695781957,0,0.45057323002257,1,1
"Patagonia_lake","2019-04-13","16:35:0","Patagonia_lake_S4A07341_20190413_160000.wav",35,40,128.105279019078,0.033797759638806,0.996743305970499,0.47054184928618,0.469009438454979,0.963399,0.742451,178.570833078194,0,0.728113493982764,3,1
"Patagonia_lake","2019-04-13","16:40:0","Patagonia_lake_S4A07341_20190413_160000.wav",40,45,120.470357999012,0.0330923329754129,0.997677695499254,0.444875745386653,0.443842608440869,0.61019,0.828541,168.095791193502,0,0.583161480194385,1,1
"Patagonia_lake","2019-04-13","16:45:0","Patagonia_lake_S4A07341_20190413_160000.wav",45,50,135.393366629815,0.0330628678632861,0.997568264598732,0.470517763710633,0.469373589007693,1.222333,0.697246,181.715502481957,0,0.877683254119822,3,1
"Patagonia_lake","2019-04-13","16:50:0","Patagonia_lake_S4A07341_20190413_160000.wav",50,55,136.796955015262,0.0335390041956392,0.99690438847637,0.460396134145423,0.458970926567127,0.868981,0.763408,180.683821751321,0,0.892641444487774,3,1
"Patagonia_lake","2019-04-13","17:0:0","Patagonia_lake_S4A07341_20190413_170000.wav",0,5,144.574727214616,0.0333828905917544,0.997482632963661,0.489465165595936,0.488233002122629,1.720224,0.536779,193.894227953101,0,0.802915052946817,3,2
"Patagonia_lake","2019-04-13","17:5:0","Patagonia_lake_S4A07341_20190413_170000.wav",5,10,114.345012774093,0.0329595325450418,0.998208210570308,0.452767486384961,0.451956222388749,0.924656,0.778062,171.518443699597,0,0.0294245785890903,1,1
"Patagonia_lake","2019-04-13","17:10:0","Patagonia_lake_S4A07341_20190413_170000.wav",10,15,120.359353575023,0.0331925972889909,0.997726883933679,0.457974059560216,0.456933031367471,0.712393,0.81771,169.158539913301,0,0.000612974556444268,1,1
"Patagonia_lake","2019-04-13","17:15:0","Patagonia_lake_S4A07341_20190413_170000.wav",15,20,125.247141551806,0.0336886114623944,0.996778014226653,0.490358878168111,0.48877894883882,0.65897,0.815673,171.527596143124,0,0.555468495101086,3,1
"Patagonia_lake","2019-04-13","17:20:0","Patagonia_lake_S4A07341_20190413_170000.wav",20,25,132.215543395226,0.033450213582696,0.99663333303812,0.541346135300201,0.539523603151544,1.090674,0.714416,179.583322039817,0,0.654153659619105,3,1
"Patagonia_lake","2019-04-13","17:25:0","Patagonia_lake_S4A07341_20190413_170000.wav",25,30,137.778147577877,0.0361714043512236,0.994359605429874,0.559929339576118,0.556771117169518,1.154752,0.757379,163.129636302764,0,-0.321933809138322,4,15
"Patagonia_lake","2019-04-13","17:30:0","Patagonia_lake_S4A07341_20190413_170000.wav",30,35,128.443877030371,0.0341330639840194,0.995764216627769,0.459202618378839,0.457257535563425,1.065696,0.721437,177.922211460393,0,0.335749888983291,3,1
